Rank,Code,Company,Price,1 Day,1 Week,1 Month,1 Year,Sector,Mkt Cap ($)
1281,RR1,Reach Resources Ltd,$0.012,-4.00%,0.00%,-14.29%,+166.67%,Materials,38.4M
1282,BNL,Blue Star Helium Ltd,$0.02,-4.76%,0.00%,-25.93%,-42.86%,Energy,38.39M
1283,MYE,Metarock Group Ltd,$0.125,0.00%,0.00%,+8.70%,-26.47%,Materials,38.26M
1284,HGEN,NGlobal X Hydrogen ETF,$5.21,+5.25%,+3.17%,-11.40%,-27.44%,Financials,38.14M
1285,REY,REY Resources Ltd,$0.18,0.00%,0.00%,0.00%,+50.00%,Energy,38.11M
1286,SGQ,ST George Mining Ltd,$0.045,0.00%,+9.76%,+18.42%,-37.50%,Materials,38.1M
1287,BNKS,SBetashares Global Banks ETF - Currency Hedged,$5.99,+2.04%,+3.81%,-1.64%,+0.84%,Financials,38M
1288,LIT,Lithium Australia Ltd,$0.031,0.00%,0.00%,-6.06%,-38.00%,Industrials,37.89M
1289,TWER,RTreasury Wine Estates Ltd,$0.495,0.00%,0.00%,0.00%,0.00%,N/A,37.81M
1290,E200,0SPDR S&P/ASX 200 Esg Fund,$22.34,+1.18%,+2.71%,-0.58%,+1.32%,Financials,37.77M
1291,MKAX,XMontaka Global Extension Fund (Quoted Managed Hedge Fund),$2.74,+0.74%,+3.40%,-0.73%,+21.24%,Financials,37.59M
1292,HRN,Horizon Gold Ltd,$0.30,0.00%,-1.64%,-8.37%,-8.37%,Materials,37.55M
1293,KAT,Katana Capital Ltd,$1.13,0.00%,-1.74%,+2.73%,+4.63%,Financials,37.36M
1294,AKG,Academies Australasia Group Ltd,$0.28,0.00%,-6.67%,-9.68%,-31.71%,Consumer Discretionary,37.13M
1295,NRZ,Neurizer Ltd,$0.029,+7.41%,-9.38%,-21.62%,-73.64%,Materials,37.03M
1296,CTP,Central Petroleum Ltd,$0.05,+8.70%,+4.17%,-1.96%,-41.18%,Energy,37M
1297,KRM,Kingsrose Mining Ltd,$0.049,-2.00%,-2.00%,+2.08%,-10.91%,Materials,36.87M
1298,ST1,Spirit Technology Solutions Ltd,$0.05,+2.04%,0.00%,+13.64%,-12.28%,Communication Services,36.85M
1299,DGGF,FBetashares Ethical Diversified Growth ETF,$23.95,+1.92%,+1.83%,-0.79%,+3.59%,Financials,36.54M
1300,BOND,DSPDR S&P/ASX Australian Bond Fund,$23.52,+0.38%,+0.60%,-1.05%,+0.09%,Financials,36.4M
1301,TNC,True North Copper Ltd,$0.14,-3.45%,-3.45%,-24.32%,+164.15%,Materials,36.38M
1302,LDX,Lumos Diagnostics Holdings Ltd,$0.082,+10.81%,+5.13%,-14.58%,+74.47%,Health Care,36.36M
1303,RMY,Rma Global Ltd,$0.065,0.00%,0.00%,-19.75%,-49.92%,Communication Services,36.27M
1304,OAU,Ora Gold Ltd,$0.008,+7.14%,+7.14%,-6.25%,+50.00%,Materials,35.92M
1305,VRS,Veris Ltd,$0.07,+2.94%,+7.69%,-5.41%,-14.63%,Industrials,35.9M
1306,SZL,Sezzle Inc,$15.75,+5.63%,-2.60%,-21.05%,-18.73%,Financials,35.86M
1307,AFA,Asf Group Ltd,$0.045,0.00%,0.00%,-13.46%,-11.77%,Financials,35.66M
1308,IDA,Indiana Resources Ltd,$0.058,+16.00%,+20.83%,-6.45%,+1.75%,Materials,35.52M
1309,MPX,Mustera Property Group Ltd,$0.245,0.00%,0.00%,-2.00%,-14.04%,Real Estate,35.34M
1310,GOAT,TVaneck Morningstar International Wide Moat ETF,$24.28,+2.19%,+0.83%,-3.57%,+4.39%,Financials,35.32M
1311,ZNC,Zenith Minerals Ltd,$0.10,-16.67%,+9.89%,-13.04%,-64.29%,Materials,35.24M
1312,RTH,Ras Technology Holdings Ltd,$0.775,-3.73%,-6.63%,-8.82%,+29.17%,Industrials,35.23M
1313,BUX,Buxton Resources Ltd,$0.205,0.00%,-2.38%,-2.38%,+105.00%,Materials,35.11M
1314,92E,92 Energy Ltd,$0.33,-2.94%,-5.71%,-2.94%,-39.45%,Energy,35.1M
1315,AV1,Adveritas Ltd,$0.053,+8.16%,+12.77%,0.00%,-39.77%,Information Technology,35.09M
1316,RLT,Renergen Ltd,$1.155,0.00%,-5.71%,-18.95%,-52.86%,Energy,35.03M
1317,CAMG,GClime Capital Ltd,$0.975,+0.21%,+0.31%,+0.10%,-0.51%,N/A,34.55M
1318,AKM,Aspire Mining Ltd,$0.068,+3.03%,-11.69%,-20.93%,-18.56%,Materials,34.52M
1319,SOR,Strategic Elements Ltd,$0.077,+4.05%,0.00%,-16.30%,-45.00%,Financials,34.41M
1320,LEX,Lefroy Exploration Ltd,$0.175,+2.94%,0.00%,0.00%,-37.50%,Materials,34.35M
1321,STG,Straker Ltd,$0.505,-4.72%,+5.21%,-2.89%,-56.65%,Industrials,34.26M
1322,AGN,Argenica Therapeutics Ltd,$0.345,+11.29%,+2.99%,-9.21%,-45.24%,Health Care,34.21M
1323,NC1,Nico Resources Ltd,$0.325,+1.56%,+6.56%,-22.62%,-37.37%,Materials,34.09M
1324,1MC,Morella Corporation Ltd,$0.006,+10.00%,+10.00%,-21.43%,-72.50%,Materials,33.76M
1325,CMP,Compumedics Ltd,$0.19,+11.77%,+18.75%,+2.70%,-17.39%,Health Care,33.66M
1326,SUH,Southern Hemisphere Mining Ltd,$0.057,+9.62%,+62.86%,+128.00%,+226.50%,Materials,33.66M
1327,FGH,Foresta Group Holdings Ltd,$0.015,+7.14%,-6.25%,-6.25%,+15.39%,Materials,33.59M
1328,EME,Energy Metals Ltd,$0.16,0.00%,0.00%,-27.27%,+3.23%,Energy,33.55M
1329,TOU,Tlou Energy Ltd,$0.032,0.00%,0.00%,+14.29%,+23.08%,Energy,33.41M
